F83,F71,F74,F85,F73,F84,F146,F147,
399,rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org,834,1,8135,399,834,436,
2907,rhillegas@apache.org,3346,1,8135,2907,3346,436,
2907,rhillegas@apache.org,3346,1,8135,2907,3346,436,
351,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+djd@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+fuzzylogic@apache.org+==+fuzzylogic@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+bakksjo@apache.org+==+bandaram@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+coar@apache.org,786,1,8135,5,439,436,
351,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+djd@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+fuzzylogic@apache.org+==+fuzzylogic@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+bakksjo@apache.org+==+bandaram@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+coar@apache.org,786,1,8135,5,439,436,
145,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+chaase3@apache.org+==+bpendleton@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+bpendleton@apache.org,580,1,8135,5,439,436,
145,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+chaase3@apache.org+==+bpendleton@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+bpendleton@apache.org+==+mamta@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+abrown@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+suresht@apache.org+==+rhillegas@apache.org+==+djd@apache.org+==+fuzzylogic@apache.org+==+suresht@apache.org+==+djd@apache.org+==+djd@apache.org+==+mikem@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+mikem@apache.org+==+fuzzylogic@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kmarsden@apache.org+==+rhillegas@apache.org+==+kmarsden@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+djd@apache.org+==+davidvc@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+bakksjo@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+bandaram@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+coar@apache.org,580,1,8135,5,439,436,
145,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+chaase3@apache.org+==+bpendleton@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+bpendleton@apache.org+==+mamta@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+abrown@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+suresht@apache.org+==+rhillegas@apache.org+==+djd@apache.org+==+fuzzylogic@apache.org+==+suresht@apache.org+==+djd@apache.org+==+djd@apache.org+==+mikem@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+mikem@apache.org+==+fuzzylogic@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kmarsden@apache.org+==+rhillegas@apache.org+==+kmarsden@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+djd@apache.org+==+davidvc@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+bakksjo@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+mikem@apache.org+==+bandaram@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+djd@apache.org+==+coar@apache.org,580,1,8135,5,439,436,
145,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+chaase3@apache.org+==+bpendleton@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+bpendleton@apache.org+==+mamta@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+djd@apache.org+==+djd@apache.org,580,1,8135,5,439,436,
145,kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+rhillegas@apache.org+==+chaase3@apache.org+==+bpendleton@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+bpendleton@apache.org+==+mamta@apache.org+==+kahatlen@apache.org+==+kahatlen@apache.org+==+rhillegas@apache.org+==+mamta@apache.org+==+mamta@apache.org+==+djd@apache.org+==+djd@apache.org,580,1,8135,5,439,436,
